0.14 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.15 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.16 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.17 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.18 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.19 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.2 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.21 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.22 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.23 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.24 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.25 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.26 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.27 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.28 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.29 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.3 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.31 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.32 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.33 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.34 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.35 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.36 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.37 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.38 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.39 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.4 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.41 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.42 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.43 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.44 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.45 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.46 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.47 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.48 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.49 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.5 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.51 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.52 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.53 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.54 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.55 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.56 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.57 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.58 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.59 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.6 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.61 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.62 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.63 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.64 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.65 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.66 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.67 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.68 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.69 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.7 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.71 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.72 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.73 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.74 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.75 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.76 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.77 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.78 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.79 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.8 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.81 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.82 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.83 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.84 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.85 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.86 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.87 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.88 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.89 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.9 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.91 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.92 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.93 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.94 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.95 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.96 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.97 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.98 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
0.99 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.0 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.01 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.02 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.03 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.04 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.05 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.06 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.07 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.08 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.09 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.1 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.11 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.12 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.13 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.14 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.15 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.16 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.17 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.18 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.19 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.2 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.21 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.22 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.23 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.24 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.25 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.26 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.27 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.28 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.29 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.3 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.31 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.32 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.33 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.34 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.35 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.36 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.37 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.38 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.39 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.4 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.41 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.42 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.43 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.44 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.45 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.46 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.47 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.48 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.49 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.5 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.51 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.52 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.53 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.54 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.55 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.56 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.57 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.58 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.59 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.6 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.61 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.62 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.63 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.64 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.65 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.66 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.67 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.68 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.69 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.7 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.71 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.72 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.73 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.74 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.75 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.76 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.77 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.78 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.79 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
1.8 , 1.46018247032e-07 , 0.118113835789 , -8.78935469351e-07 , -0.218220215751 , 9.26672801801e-07 , -0.0570567183742 , -0.314314364026
